;players;;;win;;score;game of (excl 2points gap);date;;
;(will);(phil);;(1)/(0) *selon le joueur de gauche;;(11-6);(11);(2024-03-12);;ERREUR?
;É;P;;1;7;5;7;2024-05-06;;
;CC;N;;0;10;12;11;2024-05-09;;
;CC;V;;1;7;3;7;2024-05-09;;
;N;V;;1;7;5;7;2024-05-09;;
;CC;N;;1;7;3;7;2024-05-09;;
;W;CC;;1;7;2;7;2024-05-09;;
;V;W;;1;7;3;7;2024-05-09;;
;V;N;;1;7;5;7;2024-05-09;;
;V;CC;;1;7;5;7;2024-05-09;;
;N;CC;;1;7;3;7;2024-05-09;;
;É;G;;1;7;0;7;2024-05-09;;
;É;G;;1;7;1;7;2024-05-09;;
;V;Z;;1;9;7;7;2024-05-13;;
;V;Z;;1;7;3;7;2024-05-13;;
;P;X;;1;5;1;5;2024-05-13;;
;É;X;;1;7;6;5;2024-05-13;;
;W;X;;1;5;0;5;2024-05-13;;
;P;X;;1;7;5;5;2024-05-13;;
;P;É;;1;7;5;5;2024-05-13;;
;W;P;;1;5;2;5;2024-05-13;;
;É;X;;1;5;2;5;2024-05-13;;
;É;W;;1;5;2;5;2024-05-13;;
;É;P;;1;5;3;5;2024-05-13;;
;É;X;;1;5;3;5;2024-05-13;;
;W;É;;1;5;3;5;2024-05-13;;
;W;P;;1;7;5;5;2024-05-13;;
;P;X;;1;5;1;5;2024-05-13;;
;W;P;;1;7;5;5;2024-05-13;;
;É;X;;1;5;2;5;2024-05-13;;
;É;P;;1;5;1;5;2024-05-13;;
;É;X;;1;6;4;5;2024-05-13;;
;W;É;;1;5;2;5;2024-05-13;;
;X;P;;1;5;2;5;2024-05-13;;
;É;X;;1;5;1;5;2024-05-13;;
;W;É;;1;5;2;5;2024-05-13;;
;P;X;;1;5;1;5;2024-05-13;;
;W;P;;1;6;4;5;2024-05-13;;
;W;É;;1;5;3;5;2024-05-13;;
;W;X;;1;5;1;5;2024-05-13;;
;W;P;;1;5;1;5;2024-05-13;;
;É;X;;1;7;5;5;2024-05-13;;
;P;É;;1;7;5;5;2024-05-13;;
;P;W;;1;7;5;5;2024-05-13;;
;X;P;;1;5;3;5;2024-05-14;;
;É;X;;1;5;1;5;2024-05-14;;
;É;P;;1;5;1;5;2024-05-14;;
;É;X;;1;5;3;5;2024-05-14;;
;P;É;;1;5;0;5;2024-05-14;;
;P;X;;1;7;3;7;2024-05-14;;
;P;É;;1;7;4;7;2024-05-14;;
;P;V;;1;7;3;7;2024-05-14;;
;P;X;;1;7;4;7;2024-05-14;;
;P;É;;1;7;6;7;2024-05-14;;
